Date,Open,High,Low,Close,Volume
12/03/2024,"142.58","143.45","141.08","141.98","22,665,350"
12/02/2024,"137.92","142.82","137.80","142.06","33,102,441"
11/29/2024,"136.24","138.59","135.78","137.18","16,085,710"
11/27/2024,"137.20","137.94","132.96","136.24","30,175,289"
11/26/2024,"142.55","142.80","136.62","137.72","32,092,381"
11/25/2024,"140.49","142.35","139.05","141.13","30,923,109"
11/22/2024,"137.35","139.13","137.04","138.35","21,784,730"
11/21/2024,"138.87","140.28","134.93","137.49","29,311,439"
11/20/2024,"138.96","140.77","135.48","137.60","28,843,070"
11/19/2024,"137.41","139.75","137.14","139.39","23,131,350"
11/18/2024,"138.19","140.90","137.21","138.93","38,782,434"
11/15/2024,"136.58","137.35","133.65","134.90","44,217,527"
11/14/2024,"140.34","141.40","138.56","138.84","31,681,410"
11/13/2024,"142.86","144.49","139.07","139.30","35,146,648"
11/12/2024,"147.00","147.45","141.55","143.63","33,560,289"
11/11/2024,"147.38","148.57","144.91","147.35","29,868,131"
11/08/2024,"149.39","150.71","147.53","147.95","27,560,340"
11/07/2024,"146.68","150.12","145.66","149.82","30,326,430"
11/06/2024,"144.95","145.63","141.52","145.10","32,911,500"
11/05/2024,"141.94","143.08","140.80","141.66","27,067,330"
11/04/2024,"141.70","143.64","139.72","140.71","29,117,420"
11/01/2024,"144.44","144.54","141.32","141.86","39,027,434"
10/31/2024,"147.80","148.68","143.33","144.07","44,386,602"
10/30/2024,"153.01","153.12","148.10","148.60","87,701,672"
10/29/2024,"161.10","167.51","158.94","166.25","71,896,039"
10/28/2024,"158.50","160.28","157.05","159.92","36,010,129"
10/25/2024,"155.40","158.91","155.05","156.23","29,758,490"
10/24/2024,"154.74","155.19","152.35","153.44","22,877,020"
10/23/2024,"153.00","153.45","150.52","152.91","26,095,930"
10/22/2024,"156.60","156.74","151.91","154.09","34,997,352"
10/21/2024,"155.76","158.00","154.15","157.90","25,781,211"
10/18/2024,"157.41","158.01","155.56","155.97","23,822,990"
10/17/2024,"160.00","160.44","156.20","156.25","29,491,850"
10/16/2024,"158.08","158.28","154.92","156.13","30,575,770"
10/15/2024,"163.21","164.13","155.74","156.64","50,768,020"
10/14/2024,"167.77","168.90","165.15","165.27","31,757,211"
10/11/2024,"164.19","169.35","163.01","167.89","42,136,180"
10/10/2024,"169.76","172.01","162.00","164.18","75,113,594"
10/09/2024,"174.05","174.05","169.55","171.02","33,890,738"
10/08/2024,"171.75","173.60","170.00","172.80","34,730,152"
10/07/2024,"171.08","172.41","168.21","170.97","38,379,930"
10/04/2024,"166.53","171.21","164.42","170.90","44,640,301"
10/03/2024,"159.71","166.79","159.40","162.85","29,598,789"
10/02/2024,"159.31","163.10","158.67","159.78","24,630,430"
10/01/2024,"164.48","165.40","158.08","159.75","31,831,859"
09/30/2024,"163.10","165.08","162.18","164.08","21,920,301"
09/27/2024,"167.48","168.73","163.74","164.35","27,876,039"
09/26/2024,"167.06","168.68","164.05","167.49","38,044,922"
09/25/2024,"158.50","162.95","158.18","162.02","35,233,262"
09/24/2024,"157.46","159.64","154.58","158.32","27,531,199"
09/23/2024,"156.45","157.19","154.97","156.75","21,728,539"
09/20/2024,"156.00","157.45","152.47","155.95","40,248,199"
09/19/2024,"153.81","159.25","152.77","156.74","44,499,980"
09/18/2024,"150.90","152.82","148.01","148.29","26,320,080"
09/17/2024,"153.55","154.05","149.23","150.82","29,888,990"
09/16/2024,"151.70","154.44","150.91","152.08","27,677,760"
09/13/2024,"152.32","153.03","150.70","152.31","25,117,240"
09/12/2024,"148.43","151.54","147.65","150.77","29,286,170"
09/11/2024,"145.33","150.16","140.71","149.86","50,935,391"
09/10/2024,"139.06","143.08","137.25","142.84","37,217,527"
09/09/2024,"136.10","138.45","134.86","138.15","27,194,510"
09/06/2024,"138.70","139.13","132.11","134.35","39,993,512"
09/05/2024,"138.20","141.71","137.83","139.44","25,023,020"
09/04/2024,"140.51","143.37","138.51","140.87","42,130,648"
09/03/2024,"146.41","146.49","136.10","136.94","42,053,400"
08/30/2024,"147.52","148.99","145.25","148.56","31,169,070"
08/29/2024,"146.59","149.49","144.47","145.49","31,602,109"
08/28/2024,"149.40","150.43","144.72","146.36","34,075,820"
08/27/2024,"150.13","151.70","148.44","150.50","35,102,648"
08/26/2024,"154.70","158.28","148.91","149.99","49,893,262"
08/23/2024,"153.60","156.40","151.83","154.98","43,694,641"
08/22/2024,"158.87","159.84","151.01","151.70","45,737,262"
08/21/2024,"156.12","158.65","155.07","157.81","42,791,246"
08/20/2024,"156.49","162.04","154.51","156.40","76,851,156"
08/19/2024,"148.43","155.37","147.72","155.28","60,766,848"
08/16/2024,"145.70","149.37","145.20","148.56","31,123,930"
08/15/2024,"143.00","147.96","141.81","147.36","43,582,391"
08/14/2024,"143.00","143.25","137.64","140.75","35,506,434"
08/13/2024,"138.12","141.19","137.52","141.13","42,218,020"
08/12/2024,"134.44","137.99","133.23","136.77","39,724,340"
08/09/2024,"134.69","135.50","132.44","134.27","40,582,992"
08/08/2024,"131.97","136.48","128.94","136.32","49,037,449"
08/07/2024,"133.75","136.24","128.37","128.67","54,676,488"
08/06/2024,"135.15","136.44","129.10","130.18","64,455,609"
08/05/2024,"122.16","139.14","121.83","134.82","76,089,359"
08/02/2024,"133.50","137.10","131.33","132.50","78,562,000"
08/01/2024,"145.00","147.29","130.24","132.54","94,731,930"
07/31/2024,"150.73","153.60","140.03","144.48","114,306,797"
07/30/2024,"139.88","141.70","134.05","138.44","68,801,711"
07/29/2024,"141.19","144.59","138.75","139.75","47,447,191"
07/26/2024,"140.32","141.29","138.27","139.99","49,435,832"
07/25/2024,"144.07","144.75","136.81","138.32","60,578,527"
07/24/2024,"152.72","153.68","144.53","144.63","49,203,121"
07/23/2024,"154.95","157.05","153.80","154.00","31,950,580"
07/22/2024,"154.23","156.70","152.55","155.87","43,912,461"
07/19/2024,"154.86","155.81","150.62","151.58","47,513,059"
07/18/2024,"163.41","163.41","153.20","155.77","69,420,336"
07/17/2024,"169.80","169.80","159.37","159.43","76,954,203"
07/16/2024,"179.69","179.75","174.53","177.55","40,633,059"
07/15/2024,"184.45","185.50","178.54","179.83","42,202,727"
07/12/2024,"182.02","186.99","179.69","181.61","50,827,367"
07/11/2024,"184.07","187.11","177.25","181.94","59,231,406"
07/10/2024,"179.99","187.28","177.80","183.96","90,246,969"
07/09/2024,"177.97","180.41","174.70","177.10","43,471,168"
07/08/2024,"174.90","178.95","173.22","178.69","60,223,422"
07/05/2024,"165.97","174.04","165.68","171.90","61,857,047"
07/03/2024,"164.20","165.26","162.51","163.90","26,980,910"
07/02/2024,"157.04","164.58","156.70","164.31","57,838,609"
07/01/2024,"161.25","161.51","153.64","157.69","50,436,688"
06/28/2024,"160.23","166.45","159.41","162.21","56,204,621"
06/27/2024,"157.18","160.61","156.81","159.47","34,018,219"
06/26/2024,"160.60","160.74","156.00","157.54","36,973,441"
06/25/2024,"160.73","161.00","156.45","160.25","40,975,281"
06/24/2024,"159.75","163.40","158.19","160.25","45,954,047"
06/21/2024,"161.75","163.20","157.89","161.23","61,334,699"
06/20/2024,"155.83","166.82","155.50","161.78","93,245,727"
06/18/2024,"156.99","157.24","153.34","154.63","51,852,031"
06/17/2024,"158.00","159.23","154.14","158.40","44,507,738"
06/14/2024,"158.50","161.34","157.61","159.63","34,054,020"
06/13/2024,"160.40","162.66","157.31","159.90","44,442,512"
06/12/2024,"160.32","162.24","158.62","160.24","48,325,809"
06/11/2024,"160.50","161.54","156.92","158.96","40,497,090"
06/10/2024,"162.48","165.55","159.61","160.34","67,575,633"
06/07/2024,"166.59","169.45","165.86","167.87","44,796,000"
06/06/2024,"165.46","169.51","163.86","166.78","47,153,680"
06/05/2024,"162.07","167.12","161.38","166.17","60,507,488"
06/04/2024,"162.84","164.83","158.87","159.99","48,157,207"
06/03/2024,"170.82","171.08","160.91","163.55","59,157,594"
05/31/2024,"166.65","169.50","160.07","166.90","64,331,953"
05/30/2024,"167.90","168.75","163.80","166.75","46,479,930"
05/29/2024,"167.46","168.48","162.91","165.14","56,537,500"
